Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1987,Everett Gay,Texas,WR,74.10,204,10.50,32.50,,4.60,2,37.5,123,4.38,9.99,11.57
1987,John Gesek,Cal State Sacramento,OT,76.50,274,9.75,32.00,,5.21,23,25.5,107,4.87,9.99,
1987,Charles Glaze,South Carolina State,SS,71.80,197,8.00,30.75,,4.50,,29.5,115,4.50,9.99,11.80
1987,Kevin Gogan,Washington,OG,79.00,310,9.75,32.75,,5.46,,20.5,88,4.88,9.99,
1987,Chris Goode,Alabama,CB,71.60,192,9.75,31.75,,4.60,2,33.0,116,4.25,9.99,11.38
1987,Alex Gordon,Cincinnati,OLB,76.80,239,9.75,34.00,,4.85,13,29.0,115,4.62,9.99,12.81
1987,Sonny Gordon,Ohio State,FS,70.50,195,9.00,31.25,,4.60,19,30.5,106,9.99,9.99,
1987,Rick Graf,Wisconsin,OLB,77.00,240,9.50,32.00,,4.66,18,34.0,122,4.02,9.99,11.56
1987,Don Graham,Penn State,ILB,73.50,240,9.50,31.00,,4.85,18,29.0,105,4.21,9.99,11.77
1987,Marcus Greenwood,UCLA,FB,72.30,206,9.25,30.75,,4.65,13,32.0,112,4.12,9.99,11.74
1987,Wayne Haddix,Liberty (VA),CB,73.10,200,8.75,32.75,,4.67,8,37.0,122,4.35,9.99,11.36
1987,Delton Hall,Clemson,CB,72.00,202,9.25,30.00,,4.48,3,30.5,112,4.61,9.99,12.40
1987,Ron Hall,Hawaii,TE,76.10,239,10.00,32.00,,4.71,20,28.5,111,4.14,9.99,11.41
1987,Shawn Halloran,Boston College,QB,76.30,217,10.25,31.25,,5.14,10,23.5,94,4.53,9.99,
1987,Tracy Ham,Georgia Southern,RB,70.30,196,9.25,30.00,,4.74,6,28.0,110,4.28,9.99,11.80
1987,James Hansen,Utah,OT,76.80,258,8.75,31.75,,5.09,21,24.0,108,4.43,9.99,
1987,Jim Harbaugh,Michigan,QB,74.30,203,9.75,31.25,,9.99,,,,9.99,9.99,
1987,Archie Harris,William & Mary (VA),OT,77.90,270,9.50,32.25,,5.08,31,,,9.99,9.99,
1987,William Harris,Bishop (TX),TE,76.30,244,10.00,33.00,,4.71,10,28.0,107,4.43,9.99,12.60
1987,Lakei Heimuli,Brigham Young,RB,70.80,219,9.50,30.00,,4.81,20,29.5,101,4.75,9.99,12.63
1987,Thomas Henley,Stanford,WR,69.30,174,8.25,29.75,,4.53,,31.0,108,4.22,9.99,11.57
1987,Cliff Hicks,Oregon,CB,69.40,192,9.00,29.50,,4.50,8,31.5,116,4.34,9.99,11.33
1987,Alonzo Highsmith,Miami (FL),FB,72.90,236,9.50,33.00,,9.99,27,34.0,118,9.99,9.99,
1987,Bruce Hill,Arizona State,WR,71.80,173,,,,4.49,,30.5,116,4.03,9.99,11.36
1987,Lonzell Hill,Washington,WR,70.60,190,8.75,30.75,,4.57,,31.0,113,4.11,9.99,11.32
1987,Merril Hoge,Idaho State,FB,72.60,210,8.50,30.00,,4.89,15,28.5,100,4.09,9.99,11.33
1987,John Holifield,West Virginia,RB,71.10,208,9.25,31.00,,4.55,14,30.5,115,4.15,9.99,11.67
1987,Johnny Holland,Texas A&M;,OLB,73.80,226,10.25,33.00,,4.76,16,33.5,124,4.36,9.99,11.89
1987,Bruce Holmes,Minnesota,OLB,73.90,229,10.50,31.50,,4.92,15,28.0,105,4.50,9.99,12.40
1987,Darryl Holmes,Fort Valley State (GA),SS,74.40,188,9.00,32.50,,4.73,2,30.5,116,4.22,9.99,11.53
1987,Jon Horton,Arizona,WR,72.50,186,,,,4.64,2,30.0,116,9.99,9.99,
1987,Todd Howard,Texas A&M;,OLB,74.90,237,9.50,32.50,,4.80,17,28.0,108,4.50,9.99,12.16
1987,Doug Hudson,Nicholls State (LA),QB,73.80,197,7.25,29.00,,4.86,,25.0,105,4.52,9.99,
1987,Mark Ingram,Michigan State,WR,70.60,188,9.00,30.25,,4.42,8,32.0,111,4.16,9.99,11.42
1987,Jeff Jaeger,Washington,K,71.40,190,8.50,30.00,,4.96,6,26.0,103,4.49,9.99,
1987,Michael James,Washington State,WR,70.90,185,9.75,30.25,,4.50,16,35.0,117,4.37,9.99,11.44
1987,Ilia Jarostchuk,New Hampshire,ILB,75.50,231,8.50,30.50,,4.77,,31.0,116,4.43,9.99,11.88
1987,Curt Jarvis,Alabama,DT,73.00,266,9.25,30.25,,5.08,15,24.5,92,4.69,9.99,
